Call Number,Part,AWM Call No. 
12770(1),1.0,AWM SC 12770(1)
12770(2),2.0,AWM SC 12770(2)
12771,,AWM SC 12771
12772,,AWM SC 12772
12773,,AWM SC 12773
12774,,AWM SC 12774
12775,,AWM SC 12775
12776,,AWM SC 12776
12777,,AWM SC 12777
12778(1),1.0,AWM SC 12778(1)
12778(2),2.0,AWM SC 12778(2)
12779,,AWM SC 12779
12780,,AWM SC 12780
12781(1),1.0,AWM SC 12781(1)
12781(2),2.0,AWM SC 12781(2)
12782,,AWM SC 12782
12783,,AWM SC 12783
12784,,AWM SC 12784
12785,,AWM SC 12785
12786,,AWM SC 12786
12787,,AWM SC 12787
12788,,AWM SC 12788
12789,,AWM SC 12789
12790(1),1.0,AWM SC 12790(1)
12790(2),2.0,AWM SC 12790(2)
12790(3),3.0,AWM SC 12790(3)
12791,,AWM SC 12791
12792(1),1.0,AWM SC 12792(1)
12792(2),2.0,AWM SC 12792(2)
12793,,AWM SC 12793
12794,,AWM SC 12794
12795,,AWM SC 12795
12796,,AWM SC 12796
12797,,AWM SC 12797
12798,,AWM SC 12798
12799(1),1.0,AWM SC 12799(1)
12799(2),2.0,AWM SC 12799(2)
12800,,AWM SC 12800
12801,,AWM SC 12801
12802,,AWM SC 12802
12803,,AWM SC 12803
12804,,AWM SC 12804
12805,,AWM SC 12805
12806,,AWM SC 12806
12807,,AWM SC 12807
12808,,AWM SC 12808
12809(1),1.0,AWM SC 12809(1)
12809(2),2.0,AWM SC 12809(2)
12810,,AWM SC 12810
12811(1),1.0,AWM SC 12811(1)
12811(2),2.0,AWM SC 12811(2)
12812,,AWM SC 12812
12813,,AWM SC 12813
12814,,AWM SC 12814
12815,,AWM SC 12816
12816,,AWM SC 12817
12817,,AWM SC 12818
12818,,AWM SC 12819
12819(1),1.0,AWM SC 12820(1)
12819(2),2.0,AWM SC 12820(2)
12820(1),1.0,AWM SC 12821(1)
12820(2),2.0,AWM SC 12821(2)
12821(1),1.0,AWM SC 12822(1)
12821(2),2.0,AWM SC 12822(2)
12822,,AWM SC 12823
12823,,AWM SC 12824
12824,,AWM SC 12825
12825,,AWM SC 12826
12826,,AWM SC 12827
12827(1),1.0,AWM SC 12828(1)
12827(2),2.0,AWM SC 12828(2)
12828(1),1.0,AWM SC 12829(1)
12828(2),2.0,AWM SC 12829(2)
12829,,AWM SC 12830
12830(1),1.0,AWM SC 12831(1)
12830(2),2.0,AWM SC 12831(2)
12830(3),3.0,AWM SC 12831(3)
12831(1),1.0,AWM SC 12832(1)
12831(2),2.0,AWM SC 12832(2)
12831(3),3.0,AWM SC 12832(3)
12832(1),1.0,AWM SC 12833(1)
12832(2),2.0,AWM SC 12833(2)
12832(3),3.0,AWM SC 12833(3)
12833,,AWM SC 12834
12834(1),1.0,AWM SC 12835(1)
12834(2),2.0,AWM SC 12835(2)
12835(1),1.0,AWM SC 12836(1)
12835(2),2.0,AWM SC 12836(2)
12835(3),3.0,AWM SC 12836(3)
12836,,AWM SC 12837
12837,,AWM SC 12838
12838,,AWM SC 12839
12839,,AWM SC 12840
12840,,AWM SC 12841
12841,,AWM SC 12842
12842,,AWM SC 12843
12843,,AWM SC 12844
12844,,AWM SC 12845
12845,,AWM SC 12846
12846,,AWM SC 12847
12847,,AWM SC 12848
12848,,AWM SC 12849
12849(1),1.0,AWM SC 12850(1)
12849(2),2.0,AWM SC 12850(2)
12850,,AWM SC 12851
12851(1),1.0,AWM SC 12852(1)
12851(2),2.0,AWM SC 12852(2)
12851(3),3.0,AWM SC 12852(3)
12852(1),1.0,AWM SC 12853(1)
12852(2),2.0,AWM SC 12853(2)
12853(1),1.0,AWM SC 12854(1)
12853(2),2.0,AWM SC 12854(2)
12854(1),1.0,AWM SC 12855(1)
12854(2),2.0,AWM SC 12855(2)
12854(3),3.0,AWM SC 12855(3)
12855,,AWM SC 12856
12856,,AWM SC 12857
12857(1),1.0,AWM SC 12858(1)
12857(2),2.0,AWM SC 12858(2)
12857(3),3.0,AWM SC 12858(3)
12858(1),1.0,AWM SC 12859(1)
12858(2),2.0,AWM SC 12859(2)
12858(3),3.0,AWM SC 12859(3)
12859,,AWM SC 12860
12860,,AWM SC 12861
12861,,AWM SC 12863
12862(1),1.0,AWM SC 12862(1)
12862(2),2.0,AWM SC 12862(2)
12862(3),3.0,AWM SC 12862(3)
12863(1),1.0,AWM SC 12864(1)
12863(2),2.0,AWM SC 12864(2)
12864(1),1.0,AWM SC 12865(1)
12864(2),2.0,AWM SC 12865(2)
12864(3),3.0,AWM SC 12865(3)
12865,,AWM SC 12866
12866,,AWM SC 12867
12867,,AWM SC 12868
12868(1),1.0,AWM SC 12869(1)
12868(2),2.0,AWM SC 12869(2)
12869(1),1.0,AWM SC 12870(1)
12869(2),2.0,AWM SC 12870(2)
12870,,AWM SC 12871
12871,,AWM SC 12872
12872,,AWM SC 12873
12873,,AWM SC 12874
12874(1),1.0,AWM SC 12875(1)
12874(2),2.0,AWM SC 12875(2)
12875(1),1.0,AWM SC 12876(1)
12875(2),2.0,AWM SC 12876(2)
12876(1),1.0,AWM SC 12877(1)
12876(2),2.0,AWM SC 12877(2)
12876(3),3.0,AWM SC 12877(3)
12877,,AWM SC 12878
12878,,AWM SC 12879
12879(1),1.0,AWM SC 12885(1)
12879(2),2.0,AWM SC 12885(2)
12880(1),1.0,AWM SC 12815(1)
12880(2),2.0,AWM SC 12815(2)
12881(1),1.0,AWM SC 12880(1)
12881(2),2.0,AWM SC 12880(2)
12882,,AWM SC 12881
12883(1),1.0,AWM SC 12882(1)
12883(2),2.0,AWM SC 12882(2)
12884(1),1.0,AWM SC 12883(1)
12884(2),2.0,AWM SC 12883(2)
12885,,AWM SC 12884
12886(1),1.0,AWM SC 12886(1)
12886(2),2.0,AWM SC 12886(2)
12887,,AWM SC 12887
12888,,AWM SC 12888
12889,,AWM SC 12889
12890(1),1.0,AWM SC 12890(1)
12890(2),2.0,AWM SC 12890(2)
12891,,AWM SC 12891
12892,,AWM SC 12892
12893,,AWM SC 12893
12894,,AWM SC 12899
12895(1),1.0,AWM SC 12894(1)
12895(2),2.0,AWM SC 12894(2)
12896,,AWM SC 12895
12897,,AWM SC 12895
12898,,AWM SC 12896
12899,,AWM SC 12897
12900,,AWM SC 12898
12901,,AWM SC 12900
12902,,AWM SC 12901
12903,,AWM SC 12902
12904,,AWM SC 12903
12905,,AWM SC 12904
12906(1),1.0,AWM SC 12905
12906(2),2.0,AWM SC 12906
12907,,AWM SC 12907
12908(1),1.0,AWM SC 12908(1)
12908(2),2.0,AWM SC 12908(2)
12909(1),1.0,AWM SC 12909(1)
12909(2),2.0,AWM SC 12909(2)
12910(1),1.0,AWM SC 12910(1)
12910(2),2.0,AWM SC 12910(2)
12911,,AWM SC 12911
12912(1),1.0,AWM SC 12912(1)
12912(2),2.0,AWM SC 12912(2)
12913(1),1.0,AWM SC 12913(1)
12913(2),2.0,AWM SC 12913(2)
12914,,AWM SC 12914
12915,,AWM SC 12915
12916,,AWM SC 12916
12917,,AWM SC 12917
12918,,AWM SC 12918
12919(1),1.0,AWM SC 12919(1)
12919(2),2.0,AWM SC 12919(2)
12920,,AWM SC 12920
12921,,AWM SC 12921
12922(1),1.0,AWM SC 12922(1)
12922(2),2.0,AWM SC 12922(2)
12923,,AWM SC 12923
12924(1),1.0,AWM SC 12924(1)
12924(2),2.0,AWM SC 12924(2)
12924(3),3.0,AWM SC 12924(3)
12925(1),1.0,AWM SC 12925(1)
12925(2),2.0,AWM SC 12925(2)
12926,,AWM SC 12926
12927,,AWM SC 12927
12928,,AWM SC 12928
12929,,AWM SC 12929
12930,,AWM SC 12930
12931,,AWM SC 12931
12932,,AWM SC 12932
12933,,AWM SC 12933
12934,,AWM SC 12934
12935,,AWM SC 12935
12936,,AWM SC 12936
12937,,AWM SC 12937
12938(1),1.0,AWM SC 12942(1)
12938(2),2.0,AWM SC 12942(2)
12938(3),3.0,AWM SC 12942(3)
12939,,AWM SC 12943
12940,,AWM SC 12978
12941,,AWM SC 12944
12942,,AWM SC 12945
12943(1),1.0,AWM SC 12946(1)
12943(2),2.0,AWM SC 12946(2)
12944(1),1.0,AWM SC 12947(1)
12944(2),2.0,AWM SC 12947(2)
12945,,AWM SC 12948
12946,,AWM SC 12949
12947,,AWM SC 12950
12948,,AWM SC 12951
12949(1),1.0,AWM SC 12952(1)
12949(2),2.0,AWM SC 12952(2)
12950(1),1.0,AWM SC 12953(1)
12950(2),2.0,AWM SC 12953(2)
12951,,AWM SC 12954
12952,,AWM SC 12955
12953(1),1.0,AWM SC 12956(1)
12953(2),2.0,AWM SC 12956(2)
12954(1),1.0,AWM SC 12957(1)
12954(2),2.0,AWM SC 12957(2)
12955,,AWM SC 12958
12956,,AWM SC 12959
12957(1),1.0,AWM SC 12960(1)
12957(2),2.0, AWM SC 12960(2)
12958(1),1.0,AWM SC 12961(1)
12958(2),2.0,AWM SC 12961(2)
12959(1),1.0,AWM SC 12962(1)
12959(2),2.0,AWM SC 12962(2)
12960,,AWM SC 12963
12961,,AWM SC 12964
12962(1),1.0,AWM SC 12965(1)
12962(2),2.0,AWM SC 12965(2)
12963,,AWM SC 12966
12964(1),1.0,AWM SC 12969(1)
12964(2),2.0,AWM SC 12969(2)
12965(1),1.0,AWM SC 12970(1)
12965(2),2.0,AWM SC 12970(2)
12966,,AWM SC 12971
12967(1),1.0,AWM SC 12972(1)
12967(2),2.0,AWM SC 12972(2)
12967(3),3.0,AWM SC 12973(3)
12968(1),1.0,AWM SC 12974(1)
12968(2),2.0,AWM SC 12974(2)
12969(1),1.0,AWM SC 12975(1)
12969(2),2.0,AWM SC 12975(2)
12970(1),1.0,AWM SC 12976(1)
12970(2),2.0,AWM SC 12976(2)
12971,,AWM SC 12977
12972,,AWM SC 12979(1)
12973,,AWM SC 12979(2)
12974,,AWM SC 12979(3)
12975(1),1.0,AWM SC 12980(1)
12975(2),2.0,AWM SC 12980(2)
12976(1),1.0,AWM SC 12981(1)
12976(2),2.0,AWM SC 12981(2)
12977(1),1.0,AWM SC 12982(1)
12977(2),2.0,AWM SC 12982(2)
12977(3),3.0,AWM SC 12982(3)
12978,,AWM SC 12983
12979(1),1.0,AWM SC 12984(1)
12979(2),2.0,AWM SC 12984(2)
12980(1),1.0,AWM SC 12985(1)
12980(2),2.0,AWM SC 12985(2)
12981,,AWM SC 12986
12982(1),1.0,AWM SC 12987(1)
12982(2),2.0,AWM SC 12987(2)
12982(3),3.0,AWM SC 12987(3)
12983,,AWM SC 12988
12984,,AWM SC 12989
12985(1),1.0,AWM SC 12990(1)
12985(2),2.0,AWM SC 12990(2)
12986,,AWM SC 12991
12987(1),1.0,AWM SC 12992(1)
12987(2),2.0,AWM SC 12992(2)
12987(3),3.0,AWM SC 12992(3)
12988,,AWM SC 12993
12989,,AWM SC 12994
12990,,AWM SC 12995
12991,,AWM SC 12996
12992,,AWM SC 12997
12993(1),1.0,AWM SC 12998(1)
12993(2),2.0,AWM SC 12998(2)
12994,,AWM SC 12999
12995(1),1.0,AWM SC 13000(1)
12995(2),2.0,AWM SC 13000(2)
12996,,AWM SC 13001
12997,,AWM SC 13002
12998,,AWM SC 13003
12999,,AWM SC 13004
13000,,AWM SC 13005
13001,,AWM SC 13006
13002,,AWM SC 13007
13003,,AWM SC 13008
13004(1),1.0,AWM SC 13009(1)
13004(2),2.0,AWM SC 13009(2)
13004(3),3.0,AWM SC 13009(3)
13005,,AWM SC 13010
13006,,AWM SC 13011
13007,,AWM SC 13012
13008,,AWM SC 13013
13009,,AWM SC 13014
13010,,AWM SC 13015
13011,,AWM SC 13016
13012,,AWM SC 13018
13013,,AWM SC 13019
13014,,AWM SC 13020
13015,,AWM SC 13021
13016(1),1.0,AWM SC 13022(1)
13016(2),2.0,AWM SC 13022(2)
13017,,AWM SC 13023
13018(1),1.0,AWM SC 13024(1)
13018(2),2.0,AWM SC 13024(2)
13018(3),3.0,AWM SC 13024(3)
13019(1),1.0,AWM SC 13025(1)
13019(2),2.0,AWM SC 13025(2)
13019(3),3.0,AWM SC 13025(3)
13020(1),1.0,AWM SC 13026(1)
13020(2),2.0,AWM SC 13026(2)
13020(3),3.0,AWM SC 13026(3)
13021(1),1.0,AWM SC 13027(1)
13021(2),2.0,AWM SC 13027(2)
13022(1),1.0,AWM SC 13028(1)
13022(2),2.0,AWM SC 13028(2)
13022(3),3.0,AWM SC 13028(3)
13023(1),1.0,AWM SC 13029(1)
13023(2),2.0,AWM SC 13029(2)
13023(3),3.0,AWM SC 13029(3)
13024(1),1.0,AWM SC 13031(1)
13024(2),2.0,AWM SC 13031(2)
13025,,AWM SC 13017
13026,,AWM SC 13032
13027,,AWM SC 13033
13028,,AWM SC 13034
13029,,AWM SC 13035
13030,,AWM SC 13036
13031,,AWM SC 13037
13032,,AWM SC 13038
13033,,AWM SC 13039
13034,,AWM SC 13040
13035,,AWM SC 13041
13036,,AWM SC 13042
13037,,AWM SC 13043
13038,,AWM SC 13044
13039,,AWM SC 13045
13040,,AWM SC 13046
13041,,AWM SC 13047
13042,,AWM SC 13048
13043,,AWM SC 13049
13044,,AWM SC 13050
13045,,AWM SC 13051
13046,,AWM SC 13052
13047,,AWM SC 13053
13048,,AWM SC 13054
13049,,AWM SC 13055
13050,,AWM SC 13056
13051,,AWM SC 13057
13052,,AWM SC 13058
13053(1),1.0,AWM SC 13030(1)
13053(2),2.0,AWM SC 13030(2)
13054(1),1.0,AWM SC 13059(1)
13054(2),2.0,AWM SC 13059(2)
13054(3),3.0,AWM SC 13060(3)
13055(1),1.0,AWM SC 13061(1)
13055(2),2.0,AWM SC 13061(2)
13056(1),1.0,AWM SC 13062(1)
13056(2),2.0,AWM SC 13062(2)
13056(3),3.0,AWM SC 13062(3)
13057(1),1.0,AWM SC 13063(1)
13057(2),2.0,AWM SC 13063(2)
13058(1),1.0,AWM SC 13064(1)
13058(2),2.0,AWM SC 13064(2)
13059(1),1.0,AWM SC 13065(1)
13059(2),2.0,AWM SC 13065(2)
13060(1),1.0,AWM SC 13066(1)
13060(2),2.0,AWM SC 13066(2)
13061(1),1.0,AWM SC 13067(1)
13061(2),2.0,AWM SC 13067(2)
13062,,AWM SC 13068
13063,,AWM SC 13069
13064,,AWM SC 13070
13065,,AWM SC 13071
13066,,AWM SC 13072
13067,,AWM SC 13073
13068(1),1.0,AWM SC 12967(1)
13068(2),2.0,AWM SC 12967(2)
13069,,AWM SC 13074
13070,,AWM SC 13075
13071(1),1.0,AWM SC 13076(1)
13071(2),2.0,AWM SC 13076(2)
13071(3),3.0,AWM SC 13076(3)
13072(1),1.0,AWM SC 13077(1)
13072(2),2.0,AWM SC 13077(2)
13073(1),1.0,AWM SC 12968(1)
13073(2),2.0,AWM SC 12968(2)
13074(1),1.0,AWM SC 13079(1)
13074(2),2.0,AWM SC 13079(2)
13074(3),3.0,AWM SC 13079(3)
13075,,AWM SC 13080
13076,,AWM SC 13081
13077(1),1.0,AWM SC 13078(1)
13077(2),2.0,AWM SC 13078(2)
13077(3),3.0,AWM SC 13078(3)
13078(1),1.0,AWM SC 13082(1)
13078(2),2.0,AWM SC 13082(2)
13079,,AWM SC 13083
13080,,AWM SC 13084
13081(1),1.0,AWM SC 13085(1)
13081(2),2.0,AWM SC 13085(2)
13082(1),1.0,AWM SC 13086(1)
13082(2),2.0,AWM SC 13086(2)
13083(1),1.0,AWM SC 13087(1)
13083(2),2.0,AWM SC 13087(2)
13084,,AWM SC 13088
13085(1),1.0,AWM SC 13089(1)
13085(2),2.0,AWM SC 13089(2)
13086,,AWM SC 13090
13087(1),1.0,AWM SC 13091(1)
13087(2),2.0,AWM SC 13091(2)
13088(1),1.0,AWM SC 13092(1)
13088(2),2.0,AWM SC 13092(2)
13089,,AWM SC 13093
13090(1),1.0,AWM SC 13094(1)
13090(2),2.0,AWM SC 13094(2)
13091(1),1.0,AWM SC 13095(1)
13091(2),2.0,AWM SC 13095(2)
13092(1),1.0,AWM SC 13096(1)
13092(2),2.0,AWM SC 13096(2)
13093,,AWM SC 13097
13094,,AWM SC 13098
13095,,AWM SC 13099
13096(1),1.0,AWM SC 13110(1)
13096(2),2.0,AWM SC 13110(2)
13097(1),1.0,AWM SC 13111(1)
13097(2),2.0,AWM SC 13111(2)
13098(1),1.0,AWM SC 13116(1)
13098(2),2.0,AWM SC 13116(2)
13099(1),1.0,AWM SC 13117(1)
13099(2),2.0,AWM SC 13117(2)
13099(3),3.0,AWM SC 13117(3)
13100(1),1.0,AWM SC 13112(1)
13100(2),2.0,AWM SC 13112(2)
13101(1),1.0,AWM SC 13113(1)
13101(2),2.0,AWM SC 13113(2)
13102(1),1.0,AWM SC 13114(1)
13102(2),2.0,AWM SC 13114(2)
13103(1),1.0,AWM SC 13115(1)
13103(2),2.0,AWM SC 13115(2)
13104(1),1.0,AWM SC 13118(1)
13104(2),2.0,AWM SC 13118(2)
13105(1),1.0,AWM SC 13119(1)
13105(2),2.0,AWM SC 13119(2)
13106(1),1.0,AWM SC 13120(1)
13106(2),2.0,AWM SC 13120(2)
13107(1),1.0,AWM SC 13121(1)
13107(2),2.0,AWM SC 13121(2)
13108(1),1.0,AWM SC 13122(1)
13108(2),2.0,AWM SC 13122(2)
13109,,AWM SC 13123
13110(1),1.0,AWM SC 13124(1)
13110(2),2.0,AWM SC 13124(2)
13111,,AWM SC 13125
13112,,AWM SC 13126
13113(1),1.0,AWM SC 13130(1)
13113(2),2.0,AWM SC 13130(2)
13113(3),3.0,AWM SC 13130(3)
13114(1),1.0,AWM SC 13131(1)
13114(2),2.0,AWM SC 13131(2)
13114(3),3.0,AWM SC 13131(3)
13115(1),1.0,AWM SC 13129(1)
13115(2),2.0,AWM SC 13129(2)
13116,,AWM SC 13127
13117(1),1.0,AWM SC 13128(1)
13117(2),2.0,AWM SC 13128(2)
13118,,AWM SC 13132
13119,,AWM SC 13133
13120,,AWM SC 13134
13121(1),1.0,AWM SC 13135(1)
13121(2),2.0,AWM SC 13135(2)
13122(1),1.0,AWM SC 13136(1)
13122(2),2.0,AWM SC 13136(2)
13123,,AWM SC 13137
13124,,AWM SC 13138
13125,,AWM SC 13139
13126,,AWM SC 13140
13127(1),1.0,AWM SC 13141(1)
13127(2),2.0,AWM SC 13141(2)
13128,,AWM SC 13142
13129,,AWM SC 13143
13130,,AWM SC 13144
13131,,AWM SC 13145
13132,,AWM SC 13146
13133,,AWM SC 13147
13134,,AWM SC 13148
13135,,AWM SC 13149
13136(1),1.0,AWM SC 13150(1)
13136(2),2.0,AWM SC 13150(2)
13137,,AWM SC 13151
13138,,AWM SC 13152
13139,,AWM SC 13153
13140,,AWM SC 13154
13141(1),1.0,AWM SC 13155(1)
13141(2),2.0,AWM SC 13155(2)
13142(1),1.0,AWM SC 13156(1)
13142(2),2.0,AWM SC 13156(2)
13142(3),3.0,AWM SC 13156(3)
13142(4),4.0,AWM SC 13156(4)
13142(5),5.0,AWM SC 13156(5)
13143(1),1.0,AWM SC 13157(1)
13143(2),2.0,AWM SC 13157(2)
13144(1),1.0,AWM SC 13158(1)
13144(2),2.0,AWM SC 13158(2)
13144(3),3.0,AWM SC 13159(3)
13145(1),1.0,AWM SC 13160(1)
13145(2),2.0,AWM SC 13160(2)
13146(1),1.0,AWM SC 13161(1)
13146(2),2.0,AWM SC 13161(2)
13146(3),3.0,AWM SC 13161(3)
13147(1),1.0,AWM SC 13162(1)
13147(2),2.0,AWM SC 13162(2)
13147(3),3.0,AWM SC 13162(3)
13148,,AWM SC 13163
13149,,AWM SC 13164
13150,,AWM SC 13165
13151,,AWM SC 13166
13152(1),1.0,AWM SC 13167(1)
13152(2),2.0,AWM SC 13167(2)
13152(3),3.0,AWM SC 13167(3)
13153,,AWM SC 13168
13154,,AWM SC 13169
13155(1),1.0,AWM SC 13170(1)
13155(2),2.0,AWM SC 13170(2)
13156(1),1.0,AWM SC 13171(1)
13156(2),2.0,AWM SC 13171(2)
13157,,AWM SC 13172
13158,,AWM SC 13173
13159,,AWM SC 13174
13160,,AWM SC 13175
13161(1),1.0,AWM SC 13235
13161(2),2.0,AWM SC 13234
13162(1),1.0,AWM SC 13176(1)
13162(2),2.0,AWM SC 13176(2)
13162(3),3.0,AWM SC 13176(3)
13163(1),1.0,AWM SC 12939(1)
13163(2),2.0,AWM SC 12939(2)
13164,,AWM SC 13177
13165,,AWM SC 13178
13166(1),1.0,AWM SC 13179(1)
13166(2),2.0,AWM SC 13179(2)
13167(1),1.0,AWM SC 13180(1)
13167(2),2.0,AWM SC 13180(2)
13167(3),3.0,AWM SC 13180(3)
13168(1),1.0,AWM SC 13181(1)
13168(2),2.0,AWM SC 13182(2)
13169(1),1.0,AWM SC 13183(1)
13169(2),2.0,AWM SC 13183(2)
13170(1),1.0,AWM SC 13184(1)
13170(2),2.0,AWM SC 13184(2)
13171,,AWM SC 13169(1)
13172,,AWM SC 13171
13173,,AWM SC 13172
13174,,AWM SC 13173
13175(1),1.0,AWM SC 13175(1)
13175(2),2.0,AWM SC 13175(2)
13176,,AWM SC 13174
13177(1),1.0,AWM SC 13176(1)
13177(2),2.0,AWM SC 13176(2)
13178(1),1.0,AWM SC 13184(1)
13178(2),2.0,AWM SC 13184(2)
13179(1),1.0,AWM SC 13183(1)
13179(2),2.0,AWM SC 13183(2)
13180,,AWM SC 13178
13181,,AWM SC 13179
13182,,AWM SC 13180
13183,,AWM SC 13181
13184(1),1.0,AWM SC 13182(1)
13184(2),2.0,AWM SC 13182(2)
13185,,AWM SC 13185
13186,,AWM SC 13177
13187,,AWM SC 13195
13188,,AWM SC 13197
13189,,AWM SC 13205
13190,,AWM SC 13215
13191,,AWM SC 13213
13192(1),1.0,AWM SC 13192(1)
13192(2),2.0,AWM SC 13192(2)
13192(3),3.0,AWM SC 13192(3)
13193(1),1.0,AWM SC 13201(1)
13193(2),2.0,AWM SC 13201(2)
13194,,AWM SC 13196
13195(1),1.0,AWM SC 13186(1)
13195(2),2.0,AWM SC 13186(2)
13196,,AWM SC 13206
13197,,AWM SC 13217
13198,,AWM SC 13204
13199(1),1.0,AWM SC 13210(1)
13199(2),2.0,AWM SC 13210(2)
13199(3),3.0,AWM SC 13210(3)
13199(4),4.0,AWM SC 13210(4)
13200,,AWM SC 13199
13201,,AWM SC 13187
13202,,AWM SC 13188
13203(1),1.0,AWM SC 13189 (1)
13203(2),2.0,AWM SC 13189(2)
13204,,AWM SC 13190
13205,,AWM SC 13191
13206,,AWM SC 13193
13207,,AWM SC 13194
13208,,AWM SC 13198
13209,,AWM SC 13200
13210,,AWM SC 13202
13211,,AWM SC 13203
13212(1),1.0,AWM SC 13207(1)
13212(2),2.0,AWM SC 13207(2)
13213(1),1.0,AWM SC 13208(1)
13213(2),2.0,AWM SC 13208(2)
13213(3),3.0,AWM SC 13208(3)
13214,,AWM SC 13209
13215,,AWM SC 13211
13216,,AWM SC 13212(1)
13217,,AWM SC 13212(2)
13218,,AWM SC 13212(3)
13219,,AWM SC 13214
13220,,AWM SC 13216
13221,,AWM SC 13218
13222,,AWM SC 13222
13223,,AWM SC 13225
13224(1),1.0,AWM SC 13219(1)
13224(2),2.0,AWM SC 13219(2)
13225(1),1.0,AWM SC 13224(1)
13225(2),2.0,AWM SC 13224(2)
13225(3),3.0,AWM SC 13224(3)
13226(1),1.0,AWM SC 13223(1)
13226(2),2.0,AWM SC 13223(2)
13226(3),3.0,AWM SC 13223(3)
13227,,AWM SC 13220
13228,,AWM SC 13221
13229(1),1.0,AWM SC 13227(1)
13229(2),2.0,AWM SC 13227(2)
13229(3),3.0,AWM SC 13227(3)
13230,,AWM SC 13226
13231(1),1.0,AWM SC 13228(1)
13231(2),2.0,AWM SC 13228(2)
13232(1),1.0,AWM SC 13232(1)
13232(2),2.0,AWM SC 13232(2)
13233(1),1.0,AWM SC 13231(1)
13233(2),2.0,AWM SC 13231(2)
13233(3),3.0,AWM SC 13231(3)
13234(1),1.0,AWM SC 13230(1)
13234(2),2.0,AWM SC 13230(2)
13234(3),3.0,AWM SC 13230(3)
13235,,AWM SC 13229
13236,,AWM SC 13233
13237,,AWM SC 13236
13238,,AWM SC 13237
13239(1),1.0,AWM SC 13238(1)
13239(2),2.0,AWM SC 13238(1)
13240,,AWM SC 13239
13241,,AWM SC 13240
13242,,AWM SC 13241
13243(1),1.0,AWM SC 13247(1)
13243(2),2.0,AWM SC 13247(2)
13244(1),1.0,AWM SC 13246(1)
13244(2),2.0,AWM SC 13246(1)
13245(1),1.0,AWM SC 13245(1)
13245(2),2.0,AWM SC 13245(2)
13246,,AWM SC 13242
13247,,AWM SC 13243
13248,,AWM SC 13244
13249,,AWM SC 13248
13250(1),1.0,AWM SC 13249(1)
13250(2),2.0,AWM SC 13249(2)
13251,,AWM SC 13250
13252(1),1.0,AWM SC 12938(1)
13252(2),2.0,AWM SC 12938(2)
13253,,AWM SC 13256
13254,,AWM SC 13251
13255,,AWM SC 12941
13256,,AWM SC 12940
13257,,AWM SC 13252
13258,,AWM SC 13253
13259,,AWM SC 13258
13260,,AWM SC 13254
13261,,AWM SC 13255
13262(1),1.0,AWM SC 13257(1)
13262(2),2.0,AWM SC 13257(2)
13263,,AWM SC 13259
13264,,AWM SC 13260
13265(1),1.0,AWM SC 13261(1)
13265(2),2.0,AWM SC 13261(2)
13266(1),1.0,AWM SC 13262(1)
13266(2),2.0,AWM SC 13262(2)
13266(3),3.0,AWM SC 13262(3)
13267(1),1.0,AWM SC 13265(1)
13267(2),2.0,AWM SC 13265(2)
13268(1),1.0,AWM SC 13264(1)
13268(2),2.0,AWM SC 13264(2)
13269,,AWM SC 13266
13270(1),1.0,AWM SC 13267(1)
13270(2),2.0,AWM SC 13267(2)
13271(1),1.0,AWM SC 13270(1)
13271(2),2.0,AWM SC 13270(2)
13272(1),1.0,AWM SC 13269(1)
13272(2),2.0,AWM SC 13269(2)
13273(1),1.0,AWM SC 13268(1)
13273(2),2.0,AWM SC 13268(2)
13274(1),1.0,AWM SC 13278(1)
13274(2),2.0,AWM SC 13278(2)
13275,,AWM SC 13271
13276,,AWM SC 13272
13277,,AWM SC 13273
13278,,AWM SC 13274
13279,,AWM SC 13275
13280,,AWM SC 13276
13281,,AWM SC 13277
13282,,AWM SC 13279
13283,,AWM SC 13285
13284,,AWM SC 13280
13285,,AWM SC 13281
13286,,AWM SC 13282
13287,,AWM SC 13283
13288,,AWM SC 13284
13289,,AWM SC 13286
13290,,
13291,,
13292,,
