AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 13089,13,,,Rukmimi,Rukmimi Subramanian,Concert by Rukmimi Subramanian,,9/22/00,
AWM SC 13090(1),13,,,Saavitri,Savitri Ramanand,Navrathri Music Festival (1 of 2),,"Detroit, 10/3/1992",KKV
AWM SC 13090(2),13,,,Saavitri,Savitri Ramanand,Navrathri Music Festival (2 of 2),,"Detroit, 10/3/1992",KKV
AWM SC 13091(1),13,,,Sankaranarayanan,"T.V. Sankaranarayanan, Ramanujacharly, Pallhat Ragy",(1 of 2),y,"Shan Mukhanana Hall S. Jubilee, 1988",KKV
AWM SC 13091(2),13,,,Sankaranarayanan,"T.V. Sankaranarayanan, Ramanujacharly, Pallhat Ragy",(2 of 2),y,"Shan Mukhanana Hall S. Jubilee, 1988",KKV
AWM SC 13092(1),13,,,Sankaranarayanan,"T.V. Sankaranarayanan, Mysore Naharaj, Thiry Varur Bhalthavatsalam",Papanasm Sivan Centenary Concert (1 of 2),y,"NJ, 1990",KKV
AWM SC 13092(2),13,,,Sankaranarayanan,"T.V. Sankaranarayanan, Mysore Naharaj, Thiry Varur Bhalthavatsalam",Papanasm Sivan Centenary Concert (2 of 2),y,"NJ, 1990",KKV
AWM SC 13093,13,,,Sankaranarayanan,T.V. Sankaranarayanan,Volume I,,"Detroit, 5/11/1990",KKV
Missing,14,,,Sankaranarayanan,T.V. Sankaranarayanan,Volume II,,"Detroit, 5/11/1991",KKV
AWM SC 13094,13,,,Sankaranarayanan,"T.V. Sankaranarayanan, Mysore Nagaraj, Thiruvarour Bhakthavatsalam",,,"Detroit, 5/11/1990",KKV
AWM SC 13095,13,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramana Jacharly, T.K. Murthy"," Papanasam, Sivan Compositions",y,Mar-91,KKV
AWM SC 13096(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar","T.V. Sankaranarayanan at the Music Academy, Madras - 1993 (1 of 2)",y,"Madras, 1993",KKV
AWM SC 13096(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar","T.V. Sankaranarayanan at the Music Academy, Madras - 1993 (2 of 2)",y,"Madras, 1993",KKV
AWM SC 13097(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(1 of 2),y,"Cambridge, MA, 1994",KKV
AWM SC 13097(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(2 of 2),y,"Boston, MA, 1994",KKV
AWM SC 13098(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(1 of 2),y,"Detroit, 8/26/1994",KKV
AWM SC 13098(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(2 of 2),y,"Detroit, 8/26/1994",KKV
AWM SC 13099(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(1 of 3),y,"Toronto, 9/1994",KKV
AWM SC 13099(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(2 of 3),y,"Toronto, 9/1994",KKV
AWM SC 13099(3),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(3 of 3),y,"Toronto, 9/1994",KKV
AWM SC 13100(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(1 of 2),y,"Ottawa, 1994",KKV
AWM SC 13100(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(2 of 2),y,"Ottawa, 1994",KKV
AWM SC 13101(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(1 of 2),y,"Houston, 1994",KKV
AWM SC 13101(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(2 of 2),y,"Houston, 1994",KKV
AWM SC 13102(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(1 of 2),y,"Atlanta, 1994",KKV
AWM SC 13102(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramanujacharyalu, B. Harikumar",(2 of 2),y,"Atlanta, 1994",KKV
AWM SC 13103(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramarvujacharyalu, B. Harikumar",(1 of 2),y,"Columbus, 1994",KKV
AWM SC 13103(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, T.K.V. Ramarvujacharyalu, B. Harikumar",(2 of 2),y,"Columbus, 1994",KKV
AWM SC 13104(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, Sriram Parasuram, T. Bhakthavatsauam, V. Nalarajan",(1 of 2),y,"MA, 1995",KKV
AWM SC 13104(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, Sriram Parasuram, T. Bhakthavatsauam, V. Nalarajan",(2 of 2),y,"MA, 1995",KKV
AWM SC 13105(1),14,,,Sankaranarayanan,T.V. Sankaranarayanan,6th Annual Navarathri Festival (1 of 2),y,"Detroit, 10/26/1996",KKV
AWM SC 13105(2),14,,,Sankaranarayanan,T.V. Sankaranarayanan,6th Annual Navarathri Festival (2 of 2),y,"Detroit, 10/26/1996",KKV
AWM SC 13106(1),14,,,Sankaranarayanan,T.V. Sankaranarayanan,Navarathri Music Concert (1 of 2),y,"Bharatiya Temple, MI , 10/26/1996",
AWM SC 13106(2),14,,,Sankaranarayanan,T.V. Sankaranarayanan,Navarathri Music Concert (1 of 2),y,"Bharatiya Temple, MI , 10/26/1996",
AWM SC 13107(1),14,,,Sankaranarayanan,T.V. Sankaranarayanan,Vocal concert. Navarathri Festival (1 of 2),y,"Detroit, 10/3/1998",KKV
AWM SC 13107(2),14,,,Sankaranarayanan,T.V. Sankaranarayanan,Vocal concert. Navarathri Festival (2 of 2),y,"Detroit, 10/3/1998",KKV
AWM SC 13108(1),14,,,Sankaranarayanan,T.V. Sankaranarayanan,New Jersey Concert (1 of 2),,NJ,KKV
AWM SC 13108(2),14,,,Sankaranarayanan,T.V. Sankaranarayanan,New Jersey Concert (2 of 2),,NJ,KKV
AWM SC 13109,14,,,Sankaranarayanan,"T.V. Sankaranarayanan, Delhi P. Sunderarajnan, Padmasree Palghatraghu",,y,,KKV
AWM SC 13110(1),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, Mysore Nagaraj, T.K. Murthy",(1 of 2),y,,KKV
AWM SC 13110(2),14,,,Sankaranarayanan,"T.V. Sankaranarayanan, Mysore Nagaraj, T.K. Murthy",(2 of 2),y,,KKV
AWM SC 13111,14,,,Sankaranarayanan,"T.V. Sankaranarayanan, V.V. Subramanian, Srimushanam Rajarao, V. Nagarajan",,y,,KKV
AWM SC 13112,14,,,Sankaranarayanan,"T.V.S., M.A. Sundaresan, Wnayalpurim Sivitritumtru, Palaram Sundatem",The Virtuoso,y,,KKV
AWM SC 13113(1),14,,,Santhanam,"Jayalakshmi Santharvam, Jayshankar balan, C.P. Paraswarm",Venkat's House (1 of 3),y,"Venkat's house, 8/18/1991",KKV
AWM SC 13113(2),14,,,Santhanam,"Jayalakshmi Santharvam, Jayshankar balan, C.P. Paraswarm",Venkat's House (2 of 3),y,"Venkat's house, 8/18/1991",KKV
AWM SC 13113(3),14,,,Santhanam,"Jayalakshmi Santharvam, Jayshankar balan, C.P. Paraswarm",Venkat's House (3 of 3),y,"Venkat's house, 8/18/1991",KKV
AWM SC 13114(1),15,,,Santhanam,"Jayalakshmi Santharvam, Jayshankar balan, Viswanath Paraswarm","Troy, MI (1 of 3)",,"Troy, MI. 11/2/1991",KKV
AWM SC 13114(2),15,,,Santhanam,"Jayalakshmi Santharvam, Jayshankar balan, Viswanath Paraswarm","Troy, MI (2 of 3)",,"Troy, MI. 11/2/1991",KKV
AWM SC 13114(3),15,,,Santhanam,"Jayalakshmi Santharvam, Jayshankar balan, Viswanath Paraswarm","Troy, MI (3 of 3)",,"Troy, MI. 11/2/1991",KKV
AWM SC 13115(1),15,,,Santhanam,Maharajapuram Santhanam,(1 of 2),y,"Detroit, Sept-89",KKV
AWM SC 13115(2),15,,,Santhanam,Maharajapuram Santhanam,(2 of 2),y,"Detroit, Sept-89",KKV
AWM SC 13116,15,,,Santhanam,"Maharajapuram Santhanam, Lalgudi Jayaraman",Tanjore Upgudran / Charumathi Ramaghandran,y,Dec-83,KKV
AWM SC 13117(1),15,,,Santhanam,Maharajapuram Santhanam,Music academy - Madras (1 of 2),y,Dec-89,KKV
AWM SC 13117(2),15,,,Santhanam,Maharajapuram Santhanam,Music academy - Madras (2 of 2),y,Dec-89,KKV
AWM SC 13118,15,,,Santhanam,Maharajapuram Santhanam ,All Tamil songs,y,Dec-91,KKV
AWM SC 13119,15,,,Santhanam,Maharajapuram Santhanam ,,y,Dec-91,KKV
AWM SC 13120,15,6 SEI 570,,Santhanam,Maharajapuram Santhanam,Bhajans ,y,,
AWM SC 13121(1),15,,,Santhanam,Maharajapuram Santhanam,Shanmyananda Hall Silver Jubilee (1 of 2),y,,KKV
AWM SC 13121(2),15,,,Santhanam,Maharajapuram Santhanam,Shanmyananda Hall Silver Jubilee (2 of 2),y,,KKV
AWM SC 13122(1),15,,,Santhanam,Maharajapuram Santhanam,Lalgudi - Ramahdran (1 of 2),y,,
AWM SC 13122(2),15,,,Santhanam,Maharajapuram Santhanam,Lalgudi - Ramahdran (2 of 2),y,,
AWM SC 13123,15,SVCC 03,,Santhanam,Maharajapuram Santhanam,The Mellifluous,y,,KKV
AWM SC 13124,15,,,Santhanam,Maharajapuram Santhanam,85-91 Acadent Excerpts,y,,
AWM SC 13125,15,,,Santhanam,Maharajapuram Santhanam,Sangeetham,y,,KKV
AWM SC 13126,15,,,Santhanam,Maharajapuram Santhanam,Thyaharaja Krithis,,,KKV
AWM SC 13127(1),15,,,Santhanam,Maharajapuram Santhanam ,Maharajapuram Santhanam Concert (1 of 2),y,,
AWM SC 13127(2),15,,,Santhanam,Maharajapuram Santhanam ,Maharajapuram Santhanam Concert (2 of 2),y,,
AWM SC 13128,15,,,Santhanam,Maharajapuram Santhanam ,Maharajapuram Santhanam Albums 1 & 2,,,
AWM SC 13129,15,,,Santhanam,Maharajapuram Santhanam ,Maharajapuram Santhanam sings for you,y,,KKV
AWM SC 13130,15,,,Santhanam,Maharajapuram Santhanam ,,y,,KKV
AWM SC 13131,15,,,Santhanam,Maharajapuram Santhanam ,Stereo in Ecstacy,y,,KKV
AWM SC 13132,15,,,Santhanam,Maharajapuram Santhanam ,Vinayagar songs,y,,KKV
AWM SC 13133,15,,,Santhanam,Maharajapuram Santhanam ,Mysore Vasudevacharya Krithigaly,y,,KKV
AWM SC 13134,15,,,Santhanam,Maharajapuram Santhanam ,,,,
AWM SC 13135,15,,,Santhanam,Maharajapuram Santhanam / Maharajapuram Srinivasan,,y,,
AWM SC 13136(1),15,,,Santhanam,"Maharajapuram Santhanam V. Thyapurajan, T.  Narandran, T.H. Vinayuhram",(1 of 2),y,,KKV
AWM SC 13136(2),15,,,Santhanam,"Maharajapuram Santhanam V. Thyapurajan, T.  Narandran, T.H. Vinayuhram",(2 of 2),y,,KKV
AWM SC 13137,15,,,Santhanam,"Maharajapuram Santhanam, Coimbatore Dakshinamurthi, R. Ramesh, Mayavaram Rajaraman",,y,,KKV
AWM SC 13138,15,,,Santhanam,"Maharajapuram Santhanam, Subramaniam, V. Ramabhadran, Vimayakram",The Mellifluous,y,,KKV
AWM SC 13139,15,,,Santhanam,"Maharajapuram Santhanam, V. Thyagarajan, Vellore Ramabhadran",Shyama Sastri Krithis,y,,KKV
AWM SC 13140,15,,,Santhanam,"Maharajapuram Santhanam, V. Thyagarajan, Vellore Ramabhadran",Srinivasan & Ramachandran,y,,
AWM SC 13141(1),16,,,Sastrical,Balakrishna Sastrical,Sita Kalyanam (1 and 2),,,
AWM SC 13141(2),16,,,Sastrical,Balakrishna Sastrical,Sita Kalyanam (3 and 4),,,
AWM SC 13142(1),16,,,Sastrigal,T.S. Balakrishna Sastrigal,Thyagaraja Ramayanam (1 of 5),,,
AWM SC 13142(2),16,,,Sastrigal,T.S. Balakrishna Sastrigal,Thyagaraja Ramayanam (2 of 5),,,
AWM SC 13142(3),16,,,Sastrigal,T.S. Balakrishna Sastrigal,Thyagaraja Ramayanam (3 of 5),,,
AWM SC 13142(4),16,,,Sastrigal,T.S. Balakrishna Sastrigal,Thyagaraja Ramayanam (4 of 5),,,
AWM SC 13142(5),16,,,Sastrigal,T.S. Balakrishna Sastrigal,Thyagaraja Ramayanam (5 of 5),,,
AWM SC 13143(1),16,,,Seshagopalan,T.N. Seshagopalan,Houston concert (1 of 2),y,"Houston, 4/10/1992",KKV
AWM SC 13143(2),16,,,Seshagopalan,T.N. Seshagopalan,Houston concert (2 of 2),y,"Houston, 4/10/1992",KKV
AWM SC 13144(1),16,,,Seshagopalan,T.N. Seshagopalan,(1 of 3),,Detroit. 4/25/1992,KKV
AWM SC 13144(2),16,,,Seshagopalan,T.N. Seshagopalan,(2 of 3),,Detroit. 4/25/1992,KKV
AWM SC 13144(3),16,,,Seshagopalan,T.N. Seshagopalan,(3 of 3),,Detroit. 4/25/1992,KKV
AWM SC 13145(1),16,,,Seshagopalan,T.N. Seshagopalan,Detroit Tamil Sangam (1 of 2),y,"Detroit, 7/18/1993",KKV
AWM SC 13145(2),16,,,Seshagopalan,T.N. Seshagopalan,Detroit Tamil Sangam (2 of 2),y,"Detroit, 7/18/1993",KKV
AWM SC 13146(1),16,,,Seshagopalan,T.N. Seshagopalan,(1 of 3),y,"Detroit, 11/11/1994",KKV
AWM SC 13146(2),16,,,Seshagopalan,T.N. Seshagopalan,(2 of 3),y,"Detroit, 11/11/1994",KKV
AWM SC 13146(3),16,,,Seshagopalan,T.N. Seshagopalan,(3 of 3),y,"Detroit, 11/11/1994",KKV
AWM SC 13147(1),16,,,Seshagopalan,Madurai T.N. Seshagopalan,The Trinity Academy of Fine Arts (1 of 3),y,"The Trinity Academy of Fine Arts, MI. 8/18/1996",KKV
AWM SC 13147(2),16,,,Seshagopalan,Madurai T.N. Seshagopalan,The Trinity Academy of Fine Arts (2 of 3),y,"The Trinity Academy of Fine Arts, MI. 8/18/1996",KKV
AWM SC 13147(3),16,,,Seshagopalan,Madurai T.N. Seshagopalan,The Trinity Academy of Fine Arts (3 of 3),y,"The Trinity Academy of Fine Arts, MI. 8/18/1996",KKV
AWM SC 13148,16,6 CA 584,,Seshagopalan,T.N. Seshagopalan,Classical Melodies - Madurai,y,,
AWM SC 13149,16,6ECDB 402,,Seshagopalan,T.N. Seshagopalan,Karnatic Classical - Vocal,y,,
AWM SC 13150,16,,,Seshagopalan,T.N. Seshagopalan / Bombay Sisters,,y,,KKV
AWM SC 13151,16,,,Seshagopalan,"T.N. Seshagopalan, S.D. Sridharan, Padmashri Ramanathapuram Muruga",Muthiah Bhagavathar Compositions,y,,KKV
AWM SC 13152(1),16,,,Seshagopalan,T.S. Seshagopalan,U.S. Concert (1 of 3),y,,KKV
AWM SC 13152(2),16,,,Seshagopalan,T.S. Seshagopalan,U.S. Concert (2 of 3),y,,KKV
AWM SC 13152(3),16,,,Seshagopalan,T.S. Seshagopalan,U.S. Concert (3 of 3),y,,KKV
AWM SC 13153,16,,,Seshagopalan,"T.S. Seshagopalan, S.D. Sridhar, K.V. Prasad, E.M. Subramaniam / Kandadevi Alairis, Guruvayour Dorai",Sangeetha Cassette,y,,KKV
AWM SC 13154,16,,,Shankar,"L. Shankar, Pancha Nadai ",R.T.P. in Sankarabharanam,y,"Oslo, Norway, 1989",KKV
AWM SC 13155(1),16,,,Shankar,Balaji Shankar,Michigan Tamil Sangam 1997 (1 of 2),y,1997,
AWM SC 13155(2),16,,,Shankar,Balaji Shankar,Michigan Tamil Sangam 1997 (2 of 2),y,1997,
AWM SC 13156(1),16,,,Shankar,Balaji Shankar,LA Concert (1 of 2),y,"LA, 6/28/1997",KKV
AWM SC 13156(2),16,,,Shankar,Balaji Shankar,LA Concert (2 of 2),y,"LA, 6/28/1997",KKV
AWM SC 13157,16,,,Shankar,"Karuna Supreme / Ravi Shanikar, Lakshmi Shanikar and Troupe",,y,,
AWM SC 13158,16,,,Shankar,"L. Shankar, / Kadri Gopalnath",Umayalruram / Saxophone,y,,KKV
AWM SC 13159,16,,,Shankar,"Ravi Shankar / N. Ramani, R. Venkatrama",The genius of Ravi Shankar / Lalgudi,y,,KKV
AWM SC 13160,16,,,Shashank,Master S. Shashank,Flute,y,,
AWM SC 13161(1),17,,,Shashank,Sundavegan,"Melodies from the Bamboo, Flute of Master Shashank CD 2",y,,
AWM SC 13161(2),17,,,Shashank,"Sundavegan, Navendgan, Gopalakrishvan ","Melodies from the Bamboo, Flute of Master Shashank CD 1",y,,
AWM SC 13162(1),17,,,Sheela,M.S. Sheela ,Detroit concert (1 of 3),,4/14/96,KKV
AWM SC 13162(2),17,,,Sheela,M.S. Sheela ,Detroit concert (2 of 3),,4/14/96,KKV
AWM SC 13162(3),17,,,Sheela,M.S. Sheela ,Detroit concert (3 of 3),,4/14/96,KKV
AWM SC 13163(1),17,,,Sheela,MS Sheela,Carnatic vocal concert (1 of 2),y,"Univ. of Detroit, 6/14/1998",
AWM SC 13163(2),17,,,Sheela,MS Sheela,Carnatic vocal concert (2 of 2),y,"Univ. of Detroit, 6/14/1998",
AWM SC 13164,17,,,Sheik,Sheik Chinnanowlana / M.K. Thyagara,Nadhasnaran / Bagavathar,,8/26/79,
AWM SC 13165,17,,,Sheik,Shek Chinnamoulana,Nadaswaram,y,,HV
AWM SC 13166(1),17,,,Sikkil,Sikkil sisters,Flute - Volume 1,,"Detroit, 6/21/1985",KKV
AWM SC 13166(2),17,,,Sikkil,Sikkil sisters,Flute - Volume 2,,"Detroit, 6/21/1985",KKV
AWM SC 13167(1),17,,,Sikkil,Sikkil Mala Chandrasekhar,(1 of 3),y,"Detroit, 10/2/1999",
AWM SC 13167(2),17,,,Sikkil,Sikkil Mala Chandrasekhar,(2 of 3),y,"Detroit, 10/2/1999",
AWM SC 13167(3),17,,,Sikkil,Sikkil Mala Chandrasekhar,(3 of 3),y,"Detroit, 10/2/1999",
AWM SC 13168(1),17,,,Sikkil,"Sikkil Sisters, T. Rukmini, Srimushanam Rajarao, T.H. Vinayakaram",(1 of 2),y,,KKV
AWM SC 13168(2),17,,,Sikkil,"Sikkil Sisters, T. Rukmini, Srimushanam Rajarao, T.H. Vinayakaram",(2 of 2),y,,KKV
AWM SC 13169(1),17,,,Sirghazhi,Sirghazhi Govindarajan,(1 of 2),y,"Town Hall, NY. ",
AWM SC 13169(2),17,,,Sirghazhi,Sirghazhi Govindarajan,(2 of 2),y,"Town Hall, NY. ",
AWM SC 13170(1),17,,,Siva,"N. Vijay Siva, R.K. Shriram Kumar, J. Vaidyaathan, V. Selva Ganesh",Tamil Sangam Michigan (1 of 2),y,"Detroit, 8/29/1993",KKV
AWM SC 13170(2),17,,,Siva,"N. Vijay Siva, R.K. Shriram Kumar, J. Vaidyaathan, V. Selva Ganesh",Tamil Sangam Michigan (2 of 2),y,"Detroit, 8/29/1993",KKV
AWM SC 13171,17,,,Siva,"N. Vijay Siva, R.K. Shriram Kumar, J. Vaidyaathan, V. Selva Ganesh",AVM Cassette,y,,KKV
AWM SC 13172,17,,,Sivaprasad,Whistle Sivaprasad,Carnatic music (Side A) / Saraswathi Songs (Side B),y,,
AWM SC 13173,17,,,Somasundaram,Madurai Somu / M.D. Ramanathan,,,,KKV
AWM SC 13174,17,,,Soundarya Lahiri,Soundarya Lahiri,,,,
AWM SC 13175(1),17,,,Srinivasan ,Sowmya ,Vocal Concert (1 of 2),y,"Detroit, 10/25/1997",
AWM SC 13175(2),17,,,Srinivasan ,Sowmya ,Vocal Concert (2 of 2),y,"Detroit, 10/25/1997",
AWM SC 13176,17,,,Srinivasan ,Sowmya,Rama nama mahima (1 of 1),y,,KKV
AWM SC 13177(1),17,,,Srinivasan ,"Sowmya, Narmada, Balaji ","Sowmya, Narmada, Balaji  (1 of 2)",,,
AWM SC 13177(2),17,,,Srinivasan ,"Sowmya, Narmada, Balaji ","Sowmya, Narmada, Balaji (2 of 2)",,,
AWM SC 13178(1),17,,,Srinivasan ,"S. Sowmya, V.L. Kumar, Melakaveri K. Balaji, S. Karthick",Aum  Cassete (1 of 2),y,Dec-93,KKV
AWM SC 13178(2),17,,,Srinivasan ,"S. Sowmya, V.L. Kumar, Melakaveri K. Balaji, S. Karthick",Aum  Cassete (2 of 2),y,Dec-93,KKV
AWM SC 13179(1),17,,,Srinivasan ,"S. Sowmya, V.L. Kumar, Melakaveri K. Balaji, S. Karthick",Aum - Cassette (1 of 2),y,Dec-94,KKV
