AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 13179(2),17,,,Srinivasan ,"S. Sowmya, V.L. Kumar, Melakaveri K. Balaji, S. Karthick",Aum - Cassette (2 of 2),y,Dec-94,KKV
AWM SC 13180,17,,,Srinivasan ,S. Sowmya,Devi Krithis (1 of 1),y,,
AWM SC 13181,17,,,Srinivasan ,S. Sowmya,Uthsawa Sampradaya Krithis of Srithyawaraja (1 of 1),y,,KKV
AWM SC 13182,17,,,Srinivasan ,S. Sowmya,Shanmukhariya - CD (HGHT Classical) accompanied by the orchestra of Vazhuvour R. Manikkavinamakam,y,,KKV
AWM SC 13183,17,,,Srinivasan ,S. Sowmya ,Kaavadi Chindu (1 of 1),y,,KKV
AWM SC 13184(1),18,,,Srinivasan ,"S. Sowmya, Narmada, M. Balaja, S. Karthick",(1 of 2),y,,KKV
AWM SC 13184(2),18,,,Srinivasan ,"S. Sowmya, Narmada, M. Balaja, S. Karthick",(2 of 2),y,,KKV
AWM SC 13185,18,,,Srinivasan ,"S. Sowmya, Vittal Ramamurthy, Mglakkavrri Balaji, S. Karthik ",Prerecorded cassette (1 of 1),y,,KKV
AWM SC 13186,18,,,Sreekumar,M.G. Sreekumar,Sreekumar Devotional,,,
AWM SC 13187,18,,,Subbalakshmi,"M.S. Subbalakshmi (Radha), Thiruvalangadu Sundar Esaiyer, T.K. Murthy, Kothaniaritma Iyer (Air)",Radha ,y,1958,KKV
AWM SC 13188,18,,,Subbalakshmi,M.S. Subbalakshmi / Karukurichi Arunachalam,U.S. Concert tour / Nadhaswaram,y,1966,KKV
AWM SC 13189,18,,,Subbalakshmi,M.S. Subbulakshmi,American Tour (1966) / Thyagaraja's Pancharatna Kirtanas,y,1966,KKV
AWM SC 13190,18,,,Subbalakshmi,"M.S. Subbulakshmi, Thiryvalankadu Sundareson, T.K. Murthy, Umayalpuram Kothandarama Iyar",Ramanavami,,1968,KKV
AWM SC 13191,18,,,Subbalakshmi,M.S. Subbulakshmi ,Music Academy (1976) (1 of 1),y,1976,KKV
AWM SC 13192(1),18,,,Subbalakshmi,M.S. Subbalakshmi ,M.S. Concert (1 of 3),,"Detroit, 1977",
AWM SC 13192(2),18,,,Subbalakshmi,M.S. Subbalakshmi ,M.S. Concert (2 of 3),,"Detroit, 1977",
AWM SC 13192(3),18,,,Subbalakshmi,M.S. Subbalakshmi ,M.S. Concert (3 of 3),,"Detroit, 1977",
AWM SC 13193(1),18,,,Subbalakshmi,"M.S. Subbalakshmi, v. Alagiriswamy, Guruvayaur Dorai",Pittsburgh (1 of 2),,"Pittsburgh, 1977",KKV
AWM SC 13193(2),18,,,Subbalakshmi,"M.S. Subbalakshmi, v. Alagiriswamy, Guruvayaur Dorai",Pittsburgh (2 of 2),,"Pittsburgh, 1977",KKV
AWM SC 13194,18,,,Subbalakshmi,M.S. Subbalakshmi / Balamurali Krishna,Bharathi Songs / Badrachala Ramadas Kritis,y,1983,
AWM SC 13195(1),18,,,Subbalakshmi,M.S. Subbalakshmi,Sankaranethralaya Benefit Concert (1 of 2),y,"Madras, 11/17/1990",KKV
AWM SC 13195(2),18,,,Subbalakshmi,M.S. Subbalakshmi,Sankaranethralaya Benefit Concert (2 of 2),y,"Madras, 11/17/1990",KKV
AWM SC 13196,18,,,Subbalakshmi,M.S. Subbulakshmi,Alaval and other devotional songs / New classicals,y,Apr-91,KKV
AWM SC 13197,18,,,Subbalakshmi,"Malika Chakra of Maha, Vaidyanathan Sivan ,M.S. Subbalakshmi, T.S. Narayanarao, K.V. Prasad",Mela-Raga,y,Jun-91,KKV
AWM SC 13198,18,,,Subbalakshmi,M.S. Subbulakshmi,Satabdi Samarpanam - M.S. Subbulakshmi on Kanchi Paramachrya Centenary,y,May-93,KKV
AWM SC 13199(1),18,,,Subbalakshmi,M.S. Subbulakshmi,Air concerts - Excerpts (1 of 4),y,Dec-94,KKV
AWM SC 13199(2),18,,,Subbalakshmi,M.S. Subbulakshmi,Air concerts - Excerpts (2 of 4),y,Dec-94,KKV
AWM SC 13199(3),18,,,Subbalakshmi,M.S. Subbulakshmi,Air concerts - Excerpts (3 of 4),y,Dec-94,KKV
AWM SC 13199(4),18,,,Subbalakshmi,M.S. Subbulakshmi,Air concerts - Excerpts (4 of 4),y,Dec-94,KKV
AWM SC 13200(1),18,,,Subbalakshmi,M.S. Subbalakshmi and Party,M.S. Subbalakshmi and Party at Rangi's wedding,,"Flint, MI. 5/19/1990",KKV
AWM SC 13200(2),18,,,Subbalakshmi,"M.S. Subbalakshmi, K.V. Prasad (M), R.K. SriRamkumar (V) ",M.S. Subbulakshmi at Ramji's Wedding (2),,1/26/95,KKV
AWM SC 13201,18,,,Subbalakshmi,M.S. Subbalakshmi,,,,
AWM SC 13202,18,,,Subbalakshmi,M.S. Subbalakshmi,"Vishnu Sahasranamam, Charumathi Raachandran",y,,
AWM SC 13203(1),18,,,Subbalakshmi,M.S. Subbalakshmi ,M.S. Subbalakshmi at the music academy - Madras (1 of 2),y,,KKV
AWM SC 13203(2),18,,,Subbalakshmi,M.S. Subbalakshmi ,M.S. Subbalakshmi at the music academy - Madras (2 of 2),y,,KKV
AWM SC 13204,18,,,Subbalakshmi,M.S. Subbalakshmi ,Concert at Carnegie Hall (New York),y,,
AWM SC 13205,18,,,Subbalakshmi,M.S. Subbalakshmi ,A.I.R. National Prolram,,,
AWM SC 13206,18,SCHVS 847081,,Subbalakshmi,M.S. Subbalakshmi ,Sri Venkateswara (Balaji) Pancharatnamala,y,,
AWM SC 13207,18,,,Subbalakshmi,M.S. Subbalakshmi & K.S. Narayanaswami,Classical Indian Music / Popular Melodies of M.S. Subbalakshmi,y,,KKV
AWM SC 13208,18,,,Subbalakshmi,M.S. Subbalakshmi / P. Leela,Annaryacharya Sankirtanas / Njanapana Gurvvayoorappan songs,,,KKV
AWM SC 13209,18,,,Subbalakshmi,"M.S. Subbalakshmi, T.N. Krishnan",Vocal,,,
AWM SC 13210,19,,,Subbalakshmi,M.S. Subbulakshmi,,y,,
AWM SC 13211,19,,,Subbalakshmi,M.S. Subbulakshmi,Sri. Annanacharya Sankirtanas / Sri. Venkateswara Pancharatmala songs,y,,
AWM SC 13212(1),19,,,Subbalakshmi,M.S. Subbulakshmi,M.S. Subbulakshmi (1 of 2),y,,KKV
AWM SC 13212(2),19,,,Subbalakshmi,M.S. Subbulakshmi,M.S. Subbulakshmi (2 of 2),y,,KKV
AWM SC 13213(1),19,,,Subbalakshmi,M.S. Subbulakshmi,80th birthday commemoration (1 of 3),y,,KKV
AWM SC 13213(2),19,,,Subbalakshmi,M.S. Subbulakshmi,80th birthday commemoration (2 of 3),y,,KKV
AWM SC 13213(3),19,,,Subbalakshmi,M.S. Subbulakshmi,80th birthday commemoration (3 of 3),y,,KKV
AWM SC 13214,19,,,Subbalakshmi,M.S. Subbulakshmi,M.S. Subbulakshmi (1 of 1),y,,KKV
AWM SC 13215,19,,,Subbalakshmi,M.S. Subbulakshmi,Radhamadhavam,y,,HV
Missing,,STHV 847906,,Subbalakshmi,M.S. Subbulakshmi,"Classical Carnatic - Vocal, Radio Recitals (Excerpts) 1",y,,
AWM SC 13216,19,STHV 847907,,Subbalakshmi,M.S. Subbulakshmi,"Classical Carnatic - Vocal, Radio Recitals (Excerpts) 2",y,,make a note of  1st vol in finding aid
AWM SC 13217,19,STHV 847908,,Subbalakshmi,M.S. Subbulakshmi,"Classical Carnatic - Vocal, Radio Recitals (Excerpts) 3",y,,
AWM SC 13218,19,STHV 847909,,Subbalakshmi,M.S. Subbulakshmi,"Classical Carnatic - Vocal, Radio Recitals (Excerpts) 4",y,,
AWM SC 13219,19,,,Subbalakshmi,M.S. Subbulakshmi / S. Balachandar,Venkateswara Suprabatham (in Tamil) / Immortal sounds of the veena,y,,
AWM SC 13220,19,,,Subbalakshmi,M.S.S. / Lalgudi Jayaraman,Sri Shankara Stuti,y,,
AWM SC 13221,19,,,Subbalakshmi,Thiruvambavai / M.S. Subbulakshmi,,y,,KKV
AWM SC 13222,19,,,Subrahmanyam ,Sanjay Subrahmanyam,Ambujam Krishna Festival,y,8/4/93,KKV
AWM SC 13223,19,,,Subrahmanyam ,Sanjay Subramanian,Excerpts from Sanjay Subramanian's Mylapore Fine Arts Club Concert,,"India, 12/1993",KKV
AWM SC 13224(1),19,,,Subrahmanyam ,"sanjay Subrahmanian, Vittal Ramamurthy, K. Arun Prakash, Neyveli B. Venkatesh",AUM Cassette (1 of 2),y,Dec-94,KKV
AWM SC 13224(2),19,,,Subrahmanyam ,"sanjay Subrahmanian, Vittal Ramamurthy, K. Arun Prakash, Neyveli B. Venkatesh",AUM Cassette (2 of 2),y,Dec-94,KKV
AWM SC 13225(1),19,,,Subrahmanyam ,"Sanjay Subramaniam, R.K. Sriramkumar, Arun Prakash","Bridgewater Temple, NJ (1 of 3)",y,"NY, 10/15/1995",KKV
AWM SC 13225(2),19,,,Subrahmanyam ,"Sanjay Subramaniam, R.K. Sriramkumar, Arun Prakash","Bridgewater Temple, NJ (2 of 3)",y,"NY, 10/15/1995",KKV
AWM SC 13225(3),19,,,Subrahmanyam ,"Sanjay Subramaniam, R.K. Sriramkumar, Arun Prakash","Bridgewater Temple, NJ (3 of 3)",y,"NY, 10/15/1995",KKV
AWM SC 13226(1),19,,,Subrahmanyam ,Sanjay Subramaniam,Univ. of Detroit Concert (1 of 3),y,"Detroit, 11/17/1995",KKV
AWM SC 13226(2),19,,,Subrahmanyam ,Sanjay Subramaniam,Univ. of Detroit Concert (2 of 3),y,"Detroit, 11/17/1995",KKV
AWM SC 13226(3),19,,,Subrahmanyam ,Sanjay Subramaniam,Univ. of Detroit Concert (3 of 3),y,"Detroit, 11/17/1995",KKV
AWM SC 13227,19,,,Subrahmanyam ,Sanjay Subrahmanyam,Ambujam Krishna Festival,y,,KKV
AWM SC 13228,19,,,Subrahmanyam ,Sanjay Subrahmanyam,,y,,KKV
AWM SC 13229(1),19,,,Subramanian,T.R. Subramanian,Detroit Concert - Tape I,,"Detroit, 6/19/1988",
AWM SC 13229(2),19,,,Subramanian,T.R. Subramanian,Detroit Concert - Tape II,,"Detroit, 6/19/1988",
AWM SC 13229(3),19,,,Subramanian,T.R. Subramanian,Detroit Concert - Tape III,,"Detroit, 6/19/1988",
AWM SC 13230,19,,,Subramaniam,Karaikkudi Subramaniam & Rajeswani Padmanabhan,,y,,KKV
AWM SC 13231(1),19,,,Sundar,Madurai R. Sundar,(1 of 2),y,5/21/89,KKV
AWM SC 13231(2),19,,,Sundar,Madurai R. Sundar,(2 of 2),y,5/21/89,KKV
AWM SC 13232(1),19,,,Sundar,"Madurai Risundar, Jayashankar Balanc, C.P. Viswanath, Tithyaharaja Aradhana","Vocal, Violin, Mridanam (1 of 2)",,"Flint, MI. 5/19/1990",KKV
AWM SC 13232(2),19,,,Sundar,"Madurai Risundar, Tithyaharaja Aradhana","Vocal, Violin, Mridanam (2 of 2)",,"Flint, MI. 5/19/1990",KKV
AWM SC 13233(1),19,,,Sundar,"Madurai R. Sundar, Jaishankar Balam, Viswanath Parasuram",Tamizh Isai Concert (1 of 3),,"Detroit, 12/8/1991",KKV
AWM SC 13233(2),19,,,Sundar,"Madurai R. Sundar, Jaishankar Balam, Viswanath Parasuram",Tamizh Isai Concert (2 of 3),,"Detroit, 12/8/1991",KKV
AWM SC 13233(3),20,,,Sundar,"Madurai R. Sundar, Jaishankar Balam, Viswanath Parasuram",Tamizh Isai Concert (3 of 3),,"Detroit, 12/8/1991",KKV
AWM SC 13234(1),20,,,Sundar,Madurai R. Sundar,Michigan Tamil Sangam (1 of 3),y,3/20/99,KKV
AWM SC 13234(2),20,,,Sundar,Madurai R. Sundar,Michigan Tamil Sangam (2 of 3),y,3/20/99,KKV
AWM SC 13234(3),20,,,Sundar,Madurai R. Sundar,Michigan Tamil Sangam (3 of 3),y,3/20/99,KKV
AWM SC 13235,20,REC 033,,Sundar,Madurai R. Sundar,Carnatic Coval. Ambujam Krishna's Compositions by Madurai R. Sundar,y,,
AWM SC 13236,20,,,Sundaram,Vini Sundaram,Thatha's songs,,3/16/00,
AWM SC 13237,20,,,Suprabhatam ,Sri Venkatesa Suprabatham / Sivananda Vitajalakshmi,Soundarya Lahari,y,,HV
AWM SC 13238,20,,,Suryanarayam,R.K. Suryanarayam,Veena,,,KKV
AWM SC 13239(1),20,,,Suryaprakash,R. Suryaprakash,Carnatic  vocal (1 of 2),y,"Detroit, 9/18/1999",
AWM SC 13239(2),20,,,Suryaprakash,R. Suryaprakash,Carnatic  vocal (2 of 2),y,"Detroit, 9/18/1999",
AWM SC 13240,20,,,Swami,Swami Daya Nanda,Management Insights,,,
AWM SC 13241,20,6 CA 551,,Thyagaraja,"Sri Thyagaraja, D.K. Jayaraman",Pancharathna Krithis,y,,
AWM SC 13242,20,60B 491,,Thyagaraja,Thyagaraja,Thyagaraja's Lalgudi Pancharatnam,,,
AWM SC 13243(1),20,,,Uppalapu,"U. Srinivas, Sikkil Bhaskaron, Palghat Raghu",(1 of 2),y,"Detroit, 3/25/1990",KKV
AWM SC 13243(2),20,,,Uppalapu,"U. Srinivas, Sikkil Bhaskaron, Palghat Raghu",(2 of 2),y,"Detroit, 3/25/1990",KKV
AWM SC 13244(1),20,,,Uppalapu,"U. Shrinivas, Peri Sree Ramanurthy, K.V. Prasad",TSM - Detroit (1 of 2),,"Detroit, 3/21/1993",KKV
AWM SC 13244(2),20,,,Uppalapu,"U. Shrinivas, Peri Sree Ramanurthy, K.V. Prasad",TSM - Detroit (2 of 2),,"Detroit, 3/21/1993",KKV
AWM SC 13245(1),20,,,Uppalapu,U. Shrinivas,TSM Detroit Concert (1 of 2),y,"Detroit, 3/25/1994",KKV
AWM SC 13245(2),20,,,Uppalapu,U. Shrinivas,TSM Detroit Concert (2 of 2),y,"Detroit, 3/25/1994",KKV
AWM SC 13246,20,,,Uppalapu,Master U. Srinivas,Mandolin,y,,H.V.
AWM SC 13247,20,P6ECDB 288,,Uppalapu,Master U. Srinivas,Mandolin,y,,
AWM SC 13248,20,,,Uppalapu,"Master U. Srinivas, Sri. P. Sunder Rajan, Sri. Umayalpuram. V. Sivaraman","Unlabeled Tape (Gold Nest Deposit Schemes, Cholamandalam)",,,
AWM SC 13249,20,,,Uppalapu,"U. Srinivas, U. Rajesh / K.V. Narayanaswamy",Mandolin Duet / Swati Tirunal Composition,y,,KKV
AWM SC 13250(1),20,,,Vaariyar,Sri Kripaananda Vaariyaar,(1 of 2),,"Detroit, 5/18/1986",KKV
AWM SC 13250(2),20,,,Vaariyar,Sri Kripaananda Vaariyaar,(2 of 2),,"Detroit, 5/18/1986",KKV
AWM SC 13251,20,CM 066,,Vani,Smt. Vani Jairam,Bhajan Sudha,y,,
AWM SC 13252(1),20,,,Vasanthakumari,Sml - M.L. Vananlhakumari,Vol. I,,"Detroit, 9/12/1986",
AWM SC 13252(2),20,,,Vasanthakumari,Sml - M.L. Vananlhakumari,Vol. II,,"Detroit, 9/12/1986",
AWM SC 13253,20,,,Vasanthakumari,M.L. Vasanthakumari,Selections from 1986 N. American Tour (1 of 1),y,1986,KKV
AWM SC 13254,20,,,Vasanthakumari,M.L. Vasanthakumar ,Guru Vandana / Triveni,y,Apr-91,KKV
AWM SC 13255,20,,,Vasanthakumari,"MLV, Thiruvallor Subrahmaniam, Tanjore Krishnamurthy",Live (Aum cassette),y,,KKV
AWM SC 13256,20,,,Vasanthakumari,MLV,Thirudavai (Tape 1),y,,
Missing,,,,Vasanthakumari,MLV,Thirudavai (Tape 1),y,,
AWM SC 13257,20,,,Vasanthakumari,"M.L. Vasanthakumar, G.P. Kamala",Cascades of carnatic music / M.L.V. + Devotional songs,y,,
AWM SC 13258,20,,,Vasanthakumari,"M.L. Vasanthakumar, Sudha Raghunathan, A. Kanyakumari",Golden Greats (1 of 1),y,,KKV
AWM SC 13259(1),20,,,Vasanthakumari,M.L.V. ,Chicago Concert I,,,KKV
AWM SC 13259(2),20,,,Vasanthakumari,M.L. Vasanthakumari,Chicago Concert II,,,KKV
AWM SC 13261,20,,,Vasanthakumari,M.L. Vasanthakumari,"Triveni, M.L. Vasanta Kumari songs",y,,KKV
AWM SC 13262(1),21,,,Vasanthakumari,M.L.V. ,Minnesota concert Vol 1 & 2,,,H.V.
AWM SC 13262(2),21,,,Vasanthakumari,M.L.V. ,Minnesota concert Vol 3 & 4,,,H.V.
AWM SC 13263,21,6 MSC 6030,,Vasanthakumari ,Dr. M.L. Vasanthakumari ,Vocal,y,,
AWM SC 13264,21,,,Vasanthakumari ,Dr. M.L. Vasanthakumari ,,,,KKV
AWM SC 13265(1),21,,,Vasudevan,N. Vasudevan,Detroit Concert (1 of 2),,"Detroit, 5/20/1984",
AWM SC 13265(2),21,,,Vasudevan,N. Vasudevan,Detroit Concert (2 of 2),,"Detroit, 5/20/1984",
AWM SC 13266(1),21,,,Vasudevan,Neyyatinkara Vasudevan,"Thygaraja Aradhana Concert, Flint Temple (1 of 3)",y,5/21/94,KKV
AWM SC 13266(2),21,,,Vasudevan,Neyyatinkara Vasudevan,Thygaraja Aradhana Concert (2 of 3),,5/21/94,KKV
AWM SC 13266(3),21,,,Vasudevan,Neyyatinkara Vasudevan,Thygaraja Aradhana Concert (3 of 3),,5/21/94,KKV
AWM SC 13267(1),21,,,Vijayaraghavan,"Sumitra Vijayaraghavan, K. Sivakumar, M. Balachandar",Detroit (Rajarams) (1 of 2),y,"Detroit, 5/27/1994",KKV
AWM SC 13267(2),21,,,Vijayaraghavan,"Sumitra Vijayaraghavan, K. Sivakumar, M. Balachandar",Detroit (Rajarams) (2 of 2),y,"Detroit, 5/27/1994",KKV
AWM SC 13268(1),21,,,Venkatesan,"Aleppey Venkatesan, M.A. Sundareswaraw, Mannaraudi Gaswaraw",T.S.M. Concert (1 of 2),,"Detroit, 5/29/1994",KKV
AWM SC 13268(2),21,,,Venkatesan,"Aleppey Venkatesan, M.A. Sundareswaraw, Mannaraudi Gaswaraw",T.S.M. Concert (2 of 2),,"Detroit, 5/29/1994",KKV
AWM SC 13269,21,6CA 614,,Vijaykrishnan ,Dr. K.G. Vijayakrishnan,Veena Recital - Classical Instrumental,y,,
AWM SC 13270(1),21,,,Vijaykrishnan ,Dr. Vijayakrishnan,Veena Concert (1 of 2),,10/31/93,KKV
AWM SC 13270(2),21,,,Vijaykrishnan ,Dr. Vijayakrishnan,Veena Concert (1 of 2),,10/31/93,KKV
AWM SC 13271(1),21,,,Viswanath ,"C.P. Viswanath, Jayshankar Balan, Srinivasan Doraiswamy",(1 of 2),y,2/17/90,KKV
AWM SC 13271(2),21,,,Viswanath ,"C.P. Viswanath, Jayshankar Balan, Srinivasan Doraiswamy",(2 of 2),y,2/17/90,KKV
AWM SC 13272(1),21,,,Viswanath ,"C.P. Viswanath, Jayshankar Balan, Kumar Kanthan, T. Aradhana",(1 of 2),,"Flint, MI. 5/11/1991",KKV
AWM SC 13272(2),21,,,Viswanath ,"C.P. Viswanath, Jayshankar Balan, Kumar Kanthan, T. Aradhana",(2 of 2),,"Flint, MI. 5/11/1991",KKV
AWM SC 13273(1),21,,,Viswanath ,C.P. Viswanath,"Jaishankav, Suresh (1 of 2)",,"Detroit, 2/23/1992",KKV
AWM SC 13273(2),21,,,Viswanath ,C.P. Viswanath,"Jaishankav, Suresh (2 of 2)",,"Detroit, 2/23/1992",KKV
AWM SC 13274(1),21,,,Yesudas,Yesudoss,Detroit concert (1 of 2),,"Detroit, 7/3/1983",
AWM SC 13274(2),21,,,Yesudas,Yesudoss,Detroit concert (2 of 2),,"Detroit, 7/3/1983",
AWM SC 13275,21,X118101 ,,Yesudas,K.J. Yesudas (Tharangini),Classical Music,,,
AWM SC 13276,21,,,Yesudas,K.J. Yesudass,,y,,KKV
AWM SC 13277,21,,,Yesudas,K.J. Yesudass,,y,,KKV
AWM SC 13278,21,,,Yesudas,K.J. Yesudass,,y,,
AWM SC 13279,21,,,Yesudas,K.J. Yesudass,,y,,
AWM SC 13280,21,,,Yesudas,K.J. Yesudass ,Vol 5,y,,
AWM SC 13281,21,,,Yesudas,Yesudass / Maduruni Mani Iyer,,,,KKV
AWM SC 13282,21,,,Yesudas,Yesudoss / M.S. Subbalakshmi / Nellu,Ayyapan songs / Bharathiyar songs / Malayalam film songs,,,
AWM SC 13283,21,,,Yesudas,K.J. Yesudas,Ayyapan songs ,y,,KKV
AWM SC 13284,21,,,Yesudas,K.J. Yesudas,Solo songs,y,,KKV
AWM SC 13285,21,,,,,Veenaarvind's Unjal Songs,,,
AWM SC 13286,21,,,,,Dil apna preet parari & Hariyall aur rasta & Himalayaki God mein / Patita,y,,KKV
AWM SC 13287,22,SFHVS 847048,,,,Narayaneeyam - Sanskirt Devotional,y,,
AWM SC 13288,22,SFHVS 847927,,,,"Rupaka - Anuradha suresh, Krishnamurti",y,,
AWM SC 13289,22,,,,,Male Vocalist,,,
AWM SC 13290,22,,,,,Chembai Vaidyanatha Bhagavathar (stereo),y,1/17/84,
AWM SC 13291,22,,,,,Live at Music Academy - Performance of 12 Sangita Kalanidhis,y,,
AWM SC 13292,22,,,Anthadi,Abhrami Anthadi,,,,HV
AWM SC 13293,22,,,Siva,"Vijay Siva, R.K. Sriram Kumar (V), J. Vaidyanathan (M) / V. Selvaganesh (K) ","""Mayyra Natham"" Muthuswami Dikshitar Songs 1/1",y,,KKV
AWM SC 13294,22,,,Santhanam,Maharatapuram  Santhanam ,Dallas Concert III ,y,Dallas,